11444: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11444: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11445: Divider (3-Tab),3.125,0.5,1.25,0,20,2,8.5,11,0.5,0.5,0.5,0.5
11445: Easy Apply 3-Tab,2.938,0.42,0.437,0.42,10,3,11,8.5,0.26,0.657,0.26,0.655
11446: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11446: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11447: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11447: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11455: Divider (3-Tab),3.125,0.5,1.25,0,20,2,8.5,11,0.5,0.5,0.5,0.5
11456: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11457: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11458: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11458: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11459: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11459: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11546: Divider (5-Tab),1.75,0.5,0.3125,0,1,5,11,8.5,0.25,0.5,7.75,0.5
11547: Divider (8-Tab),1.125,0.5,0.14286,0,1,8,11,8.5,0.25,0.5,7.75,0.5
11548: Divider (5-Tab),1.75,0.5,0.3125,0,1,5,11,8.5,0.25,0.5,7.75,0.5
11549: Divider (8-Tab),1.125,0.5,0.14286,0,1,8,11,8.5,0.25,0.5,7.75,0.5
11576: Divider (5-Tab),1.75,0.5,0.3125,0,1,5,11,8.5,0.25,0.5,7.75,0.5
11577: Divider (8-Tab),1.125,0.5,0.14286,0,1,8,11,8.5,0.25,0.5,7.75,0.5
11578: Divider (5-Tab),1.75,0.5,0.3125,0,1,5,11,8.5,0.25,0.5,7.75,0.5
11579: Divider (8-Tab),1.125,0.5,0.14286,0,1,8,11,8.5,0.25,0.5,7.75,0.5
12171: Ready Index (5-Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
12172: Ready Index (8-Tab),3,1.125,0,0.09,8,1,8.5,11,0.87,5,0.5,0.5
